subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, episode_remembered, OnsetEnd
NG, encoding,8,5,0,61,56, pidgeon,13,1,2, ,0,0,2.803944, balance,0, NO,2,0,0,0,1522.704993,1564.76299,1567.546426,1570.355784, , , , , , , 
NG, encoding,8,6,0,62,56, mantis,11,2,1, ,0,0,0, drop,0, NO,2,0,0,0,1522.704993,1571.363517,1574.079542,1570.355784, , , , , , , 
NG, encoding,8,7,0,63,56, giraffe,7,2,3, ,0,0,4.357491, bump,0, NO,2,0,0,0,1522.704993,1581.829993,1585.312753,1589.675671, , , , , , , 
NG, encoding,8,8,0,64,56, football sneaker,4,1,8, ,0,0,4.766919, break,0, NO,2,0,0,0,1522.704993,1590.446525,1593.679258,1598.451551, , , , , , , 
NG, retrieval,8,0,1,64,57, pidgeon,13,1,2, kitchen_2,22,4,0, balance,3.223727, perceptual,1,0.873853,33,1, , , , ,1643.778979,1655.278127,1658.507132,1662.027984,1662.907104,1, 
NG, retrieval,8,0,2,64,58, football sneaker,4,1,8, shoe_shop,28,3,0, break,1.632633, perceptual,1,1.002012,33,1, , , , ,1643.778979,1664.461117,1666.099067,1669.627741,1670.635051,1, 
NG, retrieval,8,0,3,64,59, lemon,8,2,5, woodsmill,32,2,0, peek,1.478056, perceptual,1,0.917327,33,1, , , , ,1643.778979,1672.32767,1673.811011,1677.344344,1678.267018,1, 
NG, retrieval,8,0,4,64,60, wolf,16,1,3, living_room_2,24,4,0, detect,4.098682, perceptual,1,0.833595,33,1, , , , ,1643.778979,1679.810962,1683.91496,1687.444053,1688.282931,1, 
NG, retrieval,8,0,5,64,61, giraffe,7,2,3, roundabout,23,2,0, bump,1.705659, semantic_animated,1,1.016287,33,1, , , , ,1643.778979,1689.24401,1690.955025,1694.477348,1695.498903,1, 
NG, retrieval,8,0,6,64,62, dragonfly,7,2,1, dune,10,1,0, join,1.26833, semantic_animated,1,0.956383,33,1, , , , ,1643.778979,1696.777314,1698.050942,1701.577132,1702.538855,1, 
NG, retrieval,8,0,7,64,63, penguin,12,2,2, beach,2,1,0, pick,4.859657, perceptual,1,0.932446,33,1, , , , ,1643.778979,1704.193822,1709.05885,1712.577048,1713.514794,1, 
NG, retrieval,8,0,8,64,64, mantis,11,2,1, temple_indian,27,2,0, drop,1.452491, semantic_animated,1,0.757366,33,1, , , , ,1643.778979,1715.17694,1716.63475,1720.160069,1720.922722,1, 
NG, encoding,9,1,0,65,64, worm,16,2,1, ,0,0,0, utilize,0, NO,2,0,0,0,1729.699246,1733.393208,1736.609866, , , , , , , , 
NG, encoding,9,2,0,66,64, antelope,1,1,3, ,0,0,5.03232, circle,0, NO,2,0,0,0,1729.699246,1745.059647,1747.892881,1752.930603, , , , , , , 
NG, encoding,9,3,0,67,64, dress,3,2,8, ,0,0,0, give,0, NO,2,0,0,0,1729.699246,1754.360095,1757.726121,1752.930603, , , , , , , 
NG, encoding,9,4,0,68,64, pear,12,1,5, ,0,0,4.175894, pump,0, NO,2,0,0,0,1729.699246,1765.776515,1769.309241,1773.490446, , , , , , , 
NG, encoding,9,5,0,69,64, gamepad,5,1,6, ,0,0,5.568769, dance,0, NO,2,0,0,0,1729.699246,1775.058979,1777.892302,1783.466449, , , , , , , 
NG, encoding,9,6,0,70,64, kangaroo,10,2,3, ,0,0,5.418012, brush,0, NO,2,0,0,0,1729.699246,1784.675519,1787.258939,1792.682303, , , , , , , 
NG, encoding,9,7,0,71,64, sheep,14,2,3, ,0,0,5.562162, walk,0, NO,2,0,0,0,1729.699246,1794.142651,1797.058725,1802.626274, , , , , , , 
NG, encoding,9,8,0,72,64, duck,3,1,2, ,0,0,5.712984, guide,0, NO,2,0,0,0,1729.699246,1803.492473,1806.291869,1812.010234, , , , , , , 
NG, retrieval,9,0,1,72,65, worm,16,2,1, cool_room,8,4,0, utilize,7.025002, semantic_animated,1,0.611171,34,1, , , , ,1859.541654,1861.707482,1868.73785,1872.257278,1872.873782,1, 
